"endTime","artistName","trackName","msPlayed"
"2022-05-02 21:07","Lil Baby","Life Goes On",62208
"2022-05-02 21:07","Young Thug","Scoliosis (feat. Gunna & Duke)",1237
"2022-05-02 21:07","Gunna","3 Headed Snake (feat. Young Thug)",1813
"2022-05-02 21:09","Playboi Carti","No Time (feat. Gunna)",960
"2022-05-02 21:09","NAV","Turks (feat. Travis Scott)",138240
"2022-05-02 21:13","Gunna","DOLLAZ ON MY HEAD (feat. Young Thug)",5994
"2022-05-02 21:13","Gunna","WUNNA",938
"2022-05-02 21:13","Young Thug","Hot (feat. Gunna)",205440
"2022-05-02 21:13","Gunna","MOTW",1365
"2022-05-02 21:13","CHASE B","Cafeteria (feat. Gunna)",17002
"2022-05-02 21:13","Gunna","3 Headed Snake (feat. Young Thug)",4693
"2022-05-02 21:16","Gunna","DOLLAZ ON MY HEAD (feat. Young Thug)",197760
"2022-05-02 21:17","Buckshot","Keepe Out",34422
"2022-05-02 22:04","Gunna","WUNNA",17152
"2022-05-02 22:07","Gunna","DOLLAZ ON MY HEAD (feat. Young Thug)",197760
"2022-05-02 22:08","Denzel Curry","Ice Age",39116
"2022-05-02 22:08","Tyler, The Creator","NEW MAGIC WAND",5735
"2022-05-02 22:11","Playboi Carti","Slay3r",164590
"2022-05-02 22:12","Denzel Curry","RICKY",89394
"2022-05-02 23:48","Frank Ocean","Chanel",10837
"2022-05-02 23:48","tana","off the leash! (feat. yvngxchris and Luisss)",123221
"2022-05-02 23:50","Tae Retro","Phil Jackson",109482
"2022-05-02 23:52","BabyTron","Crocs & Wock'",26730
"2022-05-02 23:52","BabyTron","Crocs & Wock'",129755
"2022-05-02 23:53","Big Jungle","Prince Of The Mitten",2602
"2022-05-03 00:07","BabyTron","Jesus Shuttlesworth",17237
"2022-05-03 00:07","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",2858
"2022-05-03 00:10","Mach-Hommy","The Stellar Ray Theory",43718
"2022-05-03 00:10","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-03 00:11","Future","KEEP IT BURNIN (feat. Kanye West)",7210
"2022-05-03 00:13","Pusha T","Let The Smokers Shine The Coupes",150276
"2022-05-03 00:16","Tyler, The Creator","Where This Flower Blooms (feat. Frank Ocean)",8938
"2022-05-03 00:16","Tyler, The Creator","Foreword (feat. Rex Orange County)",147783
"2022-05-03 00:16","Tyler, The Creator","I Ain't Got Time!",3477
"2022-05-03 00:17","Tyler, The Creator","November",2346
"2022-05-03 00:17","Tyler, The Creator","November",2314
